trial;counter;index;instructionType;totalChars 
6;318;1544;Identifier;17500 
6;319;1549;Identifier;17498 
6;320;1549;Identifier;17496 
6;321;1547;Identifier;17494 
6;324;1566;Identifier;17492 
6;340;1715;Identifier;17490 
6;344;1745;Identifier;17488 
6;356;1853;Identifier;17486 
6;358;1860;Identifier;17484 
6;364;1914;Identifier;17482 
6;365;1910;Identifier;17480 
7;0;0;original;18323 
7;1;0;ExpressionStatement;18293 
7;2;0;VariableDeclaration;18289 
7;3;4;IfStatement;18254 
7;4;4;IfStatement;18228 
7;5;7;IfStatement;18133 
7;6;7;IfStatement;18081 
7;7;3;IfStatement;18047 
7;8;2;IfStatement;18015 
7;10;15;IfStatement;17965 
7;11;13;IfStatement;17915 
7;12;16;IfStatement;17857 
7;15;37;IfStatement;17839 
7;43;180;BinaryExpression;17805 
7;47;210;BinaryExpression;17779 
7;51;241;BinaryExpression;17751 
7;82;16;Identifier;17741 
7;84;21;Identifier;17741 
7;85;21;Identifier;17733 
7;116;321;Identifier;17731 
7;120;355;Identifier;17729 
7;121;351;Identifier;17727 
7;123;368;Identifier;17725 
7;124;362;Identifier;17723 
7;127;389;Identifier;17721 
7;128;389;Identifier;17719 
7;137;468;Identifier;17717 
7;143;518;Identifier;17715 
7;144;518;Identifier;17713 
7;145;517;Identifier;17711 
7;150;553;Identifier;17709 
7;151;558;Identifier;17707 
7;166;699;Identifier;17705 
7;167;696;Identifier;17703 
7;168;697;Identifier;17702 
7;169;695;Identifier;17701 
7;176;759;Identifier;17699 
7;177;755;Identifier;17697 
7;180;772;Identifier;17695 
7;182;786;Identifier;17693 
7;194;898;Identifier;17691 
7;196;907;Identifier;17689 
7;197;902;Identifier;17687 
7;199;910;Identifier;17685 
7;202;931;Identifier;17683 
7;203;932;Identifier;17681 
7;204;932;Identifier;17679 
7;210;981;Identifier;17677 
7;213;1008;Identifier;17675 
7;215;1017;Identifier;17673 
7;216;1011;Identifier;17671 
7;218;1020;Identifier;17669 
7;222;1052;Identifier;17667 
7;224;1063;Identifier;17665 
7;228;1096;Identifier;17663 
7;229;1090;Identifier;17661 
7;230;1098;Identifier;17659 
7;236;1145;Identifier;17657 
7;237;1145;Identifier;17655 
7;239;1157;Identifier;17653 
7;241;1164;Identifier;17651 
7;246;1205;Identifier;17648 
7;250;1237;Identifier;17646 
7;252;1245;Identifier;17644 
7;253;1242;Identifier;17642 
7;255;1259;Identifier;17640 
7;257;1264;Identifier;17638 
7;258;1269;Identifier;17636 
7;260;1274;Identifier;17634 
7;261;1279;Identifier;17632 
7;262;1277;Identifier;17630 
7;263;1272;Identifier;17628 
7;268;1316;Identifier;17626 
7;269;1318;Identifier;17624 
7;270;1314;Identifier;17622 
7;271;1314;Identifier;17620 
7;272;1314;Identifier;17618 
7;273;1314;Identifier;17616 
7;276;1332;Identifier;17614 
7;279;1350;Identifier;17612 
7;280;1358;Identifier;17611 
7;282;1367;Identifier;17609 
7;283;1366;Identifier;17607 
7;286;1382;Identifier;17605 
7;287;1382;Identifier;17603 
7;288;1381;Identifier;17601 
7;289;1381;Identifier;17599 
7;290;1382;Identifier;17597 
7;291;1381;Identifier;17595 
7;294;1404;Identifier;17593 
7;300;1459;Identifier;17591 
7;301;1459;Identifier;17589 
7;302;1453;Identifier;17587 
7;304;1464;Identifier;17585 
7;307;1488;Identifier;17583 
7;308;1488;Identifier;17581 
7;309;1487;Identifier;17579 
7;310;1487;Identifier;17577 
7;311;1488;Identifier;17575 
7;312;1488;Identifier;17573 
7;313;1485;Identifier;17571 
7;314;1486;Identifier;17569 
7;321;1547;Identifier;17567 
7;323;1552;Identifier;17565 
7;324;1552;Identifier;17563 
7;325;1550;Identifier;17561 
7;327;1569;Identifier;17559 
7;343;1718;Identifier;17557 
7;347;1748;Identifier;17555 
7;359;1856;Identifier;17553 
7;361;1863;Identifier;17551 
7;367;1917;Identifier;17549 
7;368;1913;Identifier;17547 
8;0;0;original;18323 
8;1;0;ExpressionStatement;18293 
8;8;69;VariableDeclaration;18315 
8;9;65;VariableDeclaration;18327 
8;11;79;VariableDeclaration;18335 
8;13;80;VariableDeclaration;18343 
8;15;95;VariableDeclaration;18390 
8;16;90;VariableDeclaration;18393 
8;29;17;Identifier;18383 
8;31;23;Identifier;18375 
8;32;22;Identifier;18375 
8;63;322;Identifier;18373 
8;68;366;Identifier;18371 
8;69;362;Identifier;18369 
8;71;379;Identifier;18367 
8;72;373;Identifier;18365 
8;76;407;Identifier;18363 
8;77;409;Identifier;18361 
8;78;408;Identifier;18359 
8;79;406;Identifier;18356 
8;88;486;Identifier;18354 
8;91;504;Identifier;18352 
8;94;525;Identifier;18350 
8;98;551;Identifier;18348 
8;99;550;Identifier;18346 
8;100;550;Identifier;18344 
8;104;586;Identifier;18342 
8;106;591;Identifier;18340 
8;121;735;Identifier;18338 
8;122;738;Identifier;18336 
8;123;735;Identifier;18335 
8;124;736;Identifier;18334 
8;131;799;Identifier;18332 
8;132;795;Identifier;18330 
8;135;812;Identifier;18328 
8;137;826;Identifier;18326 
8;149;937;Identifier;18324 
8;151;941;Identifier;18322 
8;152;945;Identifier;18320 
8;153;949;Identifier;18318 
8;157;970;Identifier;18316 
8;158;972;Identifier;18314 
8;159;971;Identifier;18312 
8;165;1021;Identifier;18310 
8;168;1047;Identifier;18308 
8;170;1050;Identifier;18306 
8;171;1055;Identifier;18304 
8;172;1059;Identifier;18302 
8;177;1091;Identifier;18300 
8;179;1102;Identifier;18298 
8;182;1129;Identifier;18296 
8;184;1134;Identifier;18294 
8;185;1137;Identifier;18292 
8;191;1185;Identifier;18290 
8;192;1185;Identifier;18288 
8;194;1197;Identifier;18286 
8;196;1204;Identifier;18284 
8;201;1245;Identifier;18281 
8;205;1277;Identifier;18279 
8;207;1285;Identifier;18277 
8;208;1282;Identifier;18275 
8;210;1299;Identifier;18273 
8;212;1304;Identifier;18271 
8;213;1309;Identifier;18269 
8;215;1314;Identifier;18267 
8;216;1312;Identifier;18265 
8;217;1318;Identifier;18263 
8;218;1316;Identifier;18261 
8;223;1355;Identifier;18259 
8;224;1355;Identifier;18257 
8;225;1357;Identifier;18255 
8;226;1356;Identifier;18253 
8;227;1355;Identifier;18251 
8;228;1354;Identifier;18249 
8;231;1371;Identifier;18247 
8;233;1389;Identifier;18243 
8;235;1397;Identifier;18242 
